ID,repeats,experimental_replicate,tetraconazole-ecuatorial,tetraconazole-polar,control-ecuatorial,control-polar
717,3,2,29.23,29.39,64.43,64.99
718,1,2,29.75,30.19,65.5,68.16
718,2,2,28.73,29.7,64.89,67.54
718,3,2,29.38,29.74,62.75,65.55
719,1,2,23.33,26.92,59.72,59.95
719,2,2,22.74,23.16,66.52,68.26
719,3,2,24.26,26.41,68.29,66.93
720,1,2,30.95,29.63,63.14,60.85
720,2,2,33.07,29.88,62.88,63.69
720,3,2,34.6,29.58,61.64,62.09
721,1,2,26.45,27.08,59.37,60.67
721,2,2,27.5,25.01,59.77,58.4
721,3,2,29.97,29.34,63.5,66.03
726,1,2,0,0,61.82,64.12
726,2,2,0,0,62.98,60.93
726,3,2,0,0,64.66,61.91
727,1,2,22.44,22.79,62.55,61.36
727,2,2,25.84,25.46,53.5,52.78
727,3,2,29.14,31.29,57.64,57.3
728,1,2,19.07,21.82,58.65,58.27
728,2,2,20.67,21.32,59.87,60.97
728,3,2,15.17,16.32,61.83,61.28
729,1,2,27.28,29.25,62.01,66.39
729,2,2,31.13,30.86,66.99,62.79
729,3,2,31.11,30.77,66.01,61.68
730,1,2,30.39,31.81,61.64,59.9
730,2,2,29.51,30.57,62.69,59.71
730,3,2,29.14,31.85,61.83,64.82
733,1,2,30.78,29.85,59.81,57.58
733,2,2,32.33,32.16,54.38,55.38
733,3,2,29.6,30.46,56.25,57.76
734,1,2,20.73,20.44,60.74,59.59
734,2,2,18.06,19.16,59.24,60.39
734,3,2,16.68,18.02,62.35,62.89
735,1,2,0,0,64.23,65.02
735,2,2,0,0,59.95,61.51
735,3,2,0,0,62.79,65.48
736,1,2,28.48,29.02,63.18,61.11
736,2,2,27.99,27.05,61.13,63.28
736,3,2,29.82,29.19,65.78,65.87
737,1,2,0,0,56.22,59.42
737,2,2,0,0,62.7,56.61
737,3,2,0,0,57.84,59.5
740,1,2,0,0,54.15,55.75
740,2,2,0,0,56.72,58.56
740,3,2,0,0,51.44,58.85
741,1,2,0,0,58.7,65.54
741,2,2,0,0,61.55,63.78
741,3,2,0,0,62.62,59.45
743,1,2,23.89,21.15,50.87,45.07
743,2,2,23.85,21.74,51.83,57.92
743,3,2,24.49,21.67,48.23,57.33
744,1,2,0,0,61.62,58.73
744,2,2,0,0,63.73,59.28
744,3,2,0,0,59.77,55.48
747,1,2,13.77,15.7,54.65,56.52
747,2,2,19.14,20.12,56.09,57.63
747,3,2,16.75,16.83,56.39,60.15
748,1,2,0,0,59.42,60.03
748,2,2,0,0,64.25,61.57
748,3,2,0,0,62.35,57.54
749,1,2,0,0,56.64,55.04
749,2,2,0,0,54.82,49.72
749,3,2,0,0,51.79,43.97
750,1,2,13.52,12.1,58.79,55.68
750,2,2,11.98,13.12,56.44,55.57
750,3,2,13.31,13.29,56.83,58.55
752,1,2,19.66,18.05,62.57,61.16
752,2,2,22.17,21.57,64.86,62.39
752,3,2,20.15,18.67,63.82,63.51
753,1,2,0,0,49.4,51.98
753,2,2,0,0,49.3,50.85
753,3,2,0,0,48.79,58.82
754,1,2,0,0,53.24,52.73
754,2,2,0,0,53.05,49.72
754,3,2,0,0,50.63,54.14
758,1,2,25.65,23.08,49.19,55.65
758,2,2,26.05,24.79,53.42,61.04
758,3,2,23.93,25.32,57.71,59.54
759,1,2,23.34,24.9,56.83,51.78
759,2,2,23.24,23.53,53.96,52.76
759,3,2,23.14,20.47,52.32,55.42
760,1,2,23.3,23.94,54.49,57.45
760,2,2,22.2,21.81,54.54,55.05
760,3,2,20.98,22.03,54.82,57.27
762,1,2,19.95,18.71,52.65,43.83
762,2,2,21.04,19.22,51.93,42.73
762,3,2,20.68,21.53,56.27,51
763,1,2,,,,
763,2,2,,,,
763,3,2,,,,
766,1,2,21.08,22.58,57.44,57.56
766,2,2,20.42,22.6,56.6,57.31
766,3,2,23.04,21.78,55.14,55.58
767,1,2,25.94,23.95,48.09,52
767,2,2,26.18,25.77,53.36,56.06
767,3,2,29.83,28.55,49.63,51.4
768,1,2,24.47,23.53,61.87,59.82
768,2,2,24.99,23.38,65.92,63.91
768,3,2,25.06,24.38,63.23,61.99
769,1,2,0,0,56.24,56.87
769,2,2,0,0,57.32,55.21
769,3,2,0,0,60.49,58.99
770,1,2,30.62,29.93,60.58,62.66
770,2,2,31.4,30.21,61.8,58.8
770,3,2,33.38,30.05,62.34,58.88
788,1,2,22.6,23.59,50.61,55.66
788,2,2,24.83,23.92,57.16,59.3
788,3,2,20.33,22.23,60.76,60.84
789,1,2,26.02,25.9,61.77,56.4
789,2,2,25.07,25.77,61.26,61.98
789,3,2,25.87,24.05,61.81,60.62
790,1,2,21.57,19.36,60.8,60.77
790,2,2,21.57,20.78,58.82,56.73
790,3,2,18.24,16.99,61.54,60.53
791,1,2,18.48,18.4,59.02,56.26
791,2,2,21.21,19.7,57.31,57.76
791,3,2,18.41,17.55,57.76,59.25
792,1,2,28.58,28.58,61.86,63.14
792,2,2,25.58,25.25,61.8,61.01
792,3,2,25.87,27.49,62.6,61.02
793,1,2,22.08,22.94,58.9,62.28
793,2,2,20.9,21.38,60.33,60.12
793,3,2,20.46,23.05,58.78,61.75
794,1,2,25.17,26.93,56.6,58.27
794,2,2,23.55,26.18,60.84,64.5
