ID,repeats,experimental_replicate,control.ecuatorial,control.polar,tetraconazole.ecuatorial,tetraconazole.polar
2548,3,2,5.083,5.143,2.813,2.813
2550,1,2,5.047,5.109,3.023,3.023
2550,2,2,5.531,5.531,2.879,2.879
2550,3,2,5.298,5.257,2.709,2.505
2551,1,2,5.474,5.507,2.725,2.769
2551,2,2,,,2.977,2.746
2551,3,2,5.343,5.524,2.776,2.803
2552,1,2,6.514,6.423,2.849,2.697
2552,2,2,6.371,6.371,2.777,2.561
2552,3,2,6.4,6.563,2.77,2.517
2554,1,2,6.374,6.354,2.463,2.267
2554,2,2,6.151,6.318,2.575,2.503
2554,3,2,6.188,5.934,2.529,2.456
2557,1,2,6.459,6.67,2.718,2.773
2557,2,2,6.175,6.26,2.877,2.818
2557,3,2,6.212,6.134,2.718,2.759
