ID,experimental_replicate,dose,ecuatorial,polar,,,,,,,
129,1,1.50,3.71,3.23,,,,,,,
129,1,1.50,2.99,3.03,,,,,,,
129,1,1.50,7.97,7.92,,,,,,,
129,1,1.50,3.27,2.87,,,,,,,
449,1,1.50,2.50,2.47,,,,,,,
449,1,1.50,2.56,2.57,,,,,,,
449,1,1.50,5.79,4.78,,,,,,,
449,1,1.50,3.06,3.12,,,,,,,
461,1,1.50,2.84,3.41,,,,,,,
461,1,1.50,2.77,2.96,,,,,,,
461,1,1.50,5.06,4.95,,,,,,,
461,1,1.50,2.40,2.34,,,,,,,
467,1,1.50,3.50,2.89,,,,,,,
467,1,1.50,3.62,3.62,,,,,,,
467,1,1.50,6.80,7.49,,,,,,,
467,1,1.50,3.06,2.79,,,,,,,
475,1,1.50,2.31,2.98,,,,,,,
475,1,1.50,2.85,2.98,,,,,,,
475,1,1.50,6.46,6.39,,,,,,,
475,1,1.50,2.47,2.44,,,,,,,
558,1,1.50,3.24,2.57,,,,,,,
558,1,1.50,3.04,2.94,,,,,,,
558,1,1.50,7.26,7.24,,,,,,,
558,1,1.50,2.58,2.28,,,,,,,
564,1,1.50,4.59,5.27,,,,,,,
564,1,1.50,4.13,4.12,,,,,,,
564,1,1.50,7.36,7.52,,,,,,,
564,1,1.50,5.80,4.71,,,,,,,
568,1,1.50,3.88,3.71,,,,,,,
568,1,1.50,2.97,2.97,,,,,,,
568,1,1.50,6.96,7.15,,,,,,,
568,1,1.50,2.46,3.51,,,,,,,
581,1,1.50,3.97,3.66,,,,,,,
581,1,1.50,3.70,3.68,,,,,,,
581,1,1.50,4.84,4.20,,,,,,,
581,1,1.50,2.86,2.58,,,,,,,
645,1,1.50,5.13,4.11,,,,,,,
645,1,1.50,3.45,3.30,,,,,,,
645,1,1.50,7.11,7.08,,,,,,,
645,1,1.50,3.79,4.80,,,,,,,
667,1,1.50,2.73,3.43,,,,,,,
667,1,1.50,3.00,3.10,,,,,,,
667,1,1.50,6.42,5.99,,,,,,,
667,1,1.50,3.12,2.45,,,,,,,
