ID,repeats,experimental_replicate,control-ecuatorial,control-polar,boscalid-ecuatorial,boscalid-polar,control-ecuatorial_36hr,control-polar_36hr,boscalid-ecuatorial-36hr,boscalid-polar_36hr
1771,1,2,5.897,5.965,2.711,2.718,,,,
1771,2,2,5.61,6.018,2.673,2.703,,,,
1771,3,2,5.505,5.854,2.659,2.639,,,,
1793,1,2,6.153,5.977,2.722,2.917,,,,
1793,2,2,6.101,6.187,2.709,2.798,,,,
1793,3,2,6.324,6.206,2.871,2.709,,,,
2293,1,2,6.077,6.088,2.451,2.399,,,,
2293,2,2,5.786,5.325,2.244,2.029,,,,
2293,3,2,6.365,5.755,2.384,2.398,,,,
2294,1,2,6.226,6.244,2.509,2.778,,,,
2294,2,2,6.017,6.199,2.525,2.68,,,,
2294,3,2,6.069,6.351,2.262,2.547,,,,
2295,1,2,5.526,6.126,2.236,2.413,,,,
2295,2,2,5.777,5.845,2.423,2.132,,,,
2295,3,2,5.751,5.964,2.174,2.46,,,,
2296,1,2,6.25,5.763,2.554,2.438,,,,
2296,2,2,5.697,6.156,2.491,2.658,,,,
2296,3,2,6.329,5.763,2.311,2.519,,,,
2297,1,2,5.911,5.901,2.379,2.246,,,,
2297,2,2,5.714,5.987,2.228,2.562,,,,
2297,3,2,6.042,6.076,2.604,2.251,,,,
2298,1,2,6.186,6.234,2.33,2.334,,,,
2298,2,2,6.118,6.414,2.308,2.002,,,,
2298,3,2,5.976,6.208,2.247,2.299,,,,
2299,1,2,6.083,6.482,2.706,2.593,,,,
2299,2,2,5.911,5.992,2.621,2.661,,,,
2299,3,2,6.174,5.987,2.385,2.565,,,,
2301,1,2,5.891,5.571,2.376,2.627,,,,
2301,2,2,5.767,5.918,2.763,2.755,,,,
2301,3,2,5.538,5.281,2.783,2.409,,,,
2302,1,2,5.949,5.817,2.404,2.468,,,,
2302,2,2,6.263,5.859,2.434,2.489,,,,
2302,3,2,6.283,6.407,2.361,2.528,,,,
2385,1,2,5.966,5.655,1.99,1.927,,,,
2385,2,2,5.653,5.441,2.039,1.933,,,,
2385,3,2,5.753,6.216,2.192,1.817,,,,
2570,1,2,5.264,5.024,2.588,2.493,,,,
2570,2,2,5.567,5.345,2.414,2.655,,,,
2570,3,2,5.615,5.289,2.519,2.347,,,,
2571,1,2,5.28,5.383,2.162,2.271,,,,
2571,2,2,5.099,5.318,2.128,2.189,,,,
2571,3,2,5.178,5.155,2.519,2.177,,,,
2572,1,2,5.576,5.762,2.516,2.419,,,,
2572,2,2,5.43,5.056,2.622,2.44,,,,
2572,3,2,5.687,5.382,2.562,2.446,,,,
2573,1,2,5.852,6.086,1.854,1.874,,,,
2573,2,2,6.109,6.536,1.945,2.157,,,,
2573,3,2,5.942,6.275,2.03,2.135,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
