ID,repeats,experimental_replicate,control-ecuatorial,control-polar,boscalid-ecuatorial,boscalid-polar
1928,3,2,5.74,5.824,2.527,2.6
1929,1,2,5.263,5.393,2.198,2.167
1929,2,2,5.148,5.398,2.274,2.107
1929,3,2,5.442,5.541,2.372,2.305
1930,1,2,4.928,5.47,2.48,2.403
1930,2,2,5.379,5.197,2.403,2.51
1930,3,2,5.465,5.65,2.554,2.344
1931,1,2,5.253,5.151,2.431,2.153
1931,2,2,5.064,4.875,2.399,2.08
1931,3,2,4.942,4.88,2.204,2.204
2481,1,2,6.764,6.211,2.485,2.546
2481,2,2,6.107,6.062,2.564,2.48
2481,3,2,5.812,5.972,2.641,2.741
2483,1,2,6.245,6.144,2.743,2.92
2483,2,2,5.862,5.969,2.611,2.678
2483,3,2,5.854,5.924,2.678,2.703
2484,1,2,5.209,5.599,2.555,2.464
2484,2,2,5.656,5.98,2.689,2.849
2484,3,2,5.819,6.029,2.612,2.728
2485,1,2,5.54,5.416,2.374,2.198
2485,2,2,5.582,5.596,2.345,2.209
2485,3,2,5.258,5.279,2.385,2.306
2486,1,2,5.392,6.002,2.835,2.606
2486,2,2,6.249,6.193,2.702,2.557
2486,3,2,6.025,5.412,2.788,2.573
2487,1,2,6.026,6.437,2.741,2.457
2487,2,2,5.805,5.808,2.777,2.611
2487,3,2,6.052,6.304,2.662,2.598
2488,1,2,5.505,5.505,2.716,2.737
2488,2,2,5.604,5.644,2.725,2.735
2488,3,2,5.552,5.304,2.738,2.706
2489,1,2,6.191,6.213,2.76,2.76
2489,2,2,6.545,6.115,2.85,2.906
2489,3,2,6.459,6.451,3.082,2.756
2490,1,2,6.091,6.11,2.835,2.849
2490,2,2,6.218,6.525,2.962,3.021
2490,3,2,5.688,5.966,2.871,2.753
2504,1,2,5.19,5.421,2.321,2.448
2504,2,2,4.873,4.759,2.267,2.132
2504,3,2,5.069,5.339,2.32,2.522
2505,1,2,5.821,6.009,2.522,2.563
2505,2,2,5.757,5.849,2.539,2.641
2505,3,2,5.812,5.954,2.795,2.585
2506,1,2,6.17,6.239,2.478,2.515
2506,2,2,5.729,6.077,2.55,2.608
2506,3,2,5.851,6.015,2.478,2.673
2507,1,2,5.382,5.58,2.237,2.366
2507,2,2,5.785,5.785,2.487,2.333
2507,3,2,6.008,5.941,2.391,2.391
2508,1,2,5.875,5.873,3.038,2.545
2508,2,2,5.203,5.295,2.677,2.611
2508,3,2,5.296,5.618,2.52,2.455
2509,1,2,6.005,6.005,2.455,2.455
2509,2,2,5.898,5.973,2.666,2.529
2509,3,2,5.965,6.039,2.686,2.615
2510,1,2,6.07,6.177,2.692,2.662
2510,2,2,6.039,5.834,2.803,2.606
2510,3,2,5.786,5.567,2.546,2.509
2511,1,2,5.856,5.888,2.545,2.958
2511,2,2,6.097,5.799,2.664,2.802
2511,3,2,5.954,6.128,2.802,2.857
2512,1,2,6.19,6.206,2.527,2.563
2512,2,2,5.679,6.123,2.573,2.622
2512,3,2,6.498,6.053,2.498,2.466
2513,1,2,6.533,6.691,2.549,2.511
2513,2,2,7.111,6.764,2.517,2.557
2513,3,2,6.547,6.753,2.484,2.682
2542,1,2,6.195,6.755,2.733,3.113
2542,2,2,6.427,6.365,2.851,2.887
2542,3,2,6.475,6.19,2.852,2.976
2545,1,2,5.46,5.782,2.2,2.235
2545,2,2,6.028,6.089,2.338,2.244
2545,3,2,6.147,6.094,2.211,2.41
2546,1,2,5.624,5.585,2.249,2.163
2546,2,2,5.321,5.422,2.288,2.181
2546,3,2,5.242,5.172,2.263,2.216
2457,1,2,4.702,4.529,2.111,2.225
2457,2,2,4.87,4.87,2.419,2.276
2457,3,2,4.691,4.772,2.054,2.144
2548,1,2,5.41,5.21,2.409,2.294
2548,2,2,5.685,5.382,2.48,2.057
2548,3,2,5.364,5.419,2.293,2.261
2550,1,2,5.509,5.28,2.263,2.263
2550,2,2,5.681,5.572,2.304,2.409
2550,3,2,5.517,5.568,2.3,2.247
2551,1,2,4.999,5.128,2.196,1.945
2551,2,2,5.158,5.053,2.269,2.032
2551,3,2,5.331,5.16,1.912,2.19
2552,1,2,6.157,6.391,2.81,3.106
2552,2,2,6.32,6.067,2.828,2.676
2552,3,2,6.886,6.933,2.577,2.696
2554,1,2,5.72,5.634,2.547,2.616
2554,2,2,5.592,5.114,2.606,2.737
2554,3,2,6.068,6.032,2.623,2.385
2557,1,2,6.051,6.178,2.607,2.607
2557,2,2,5.729,5.97,2.882,2.77
2557,3,2,5.858,6.182,2.857,2.647
